symbol,market,name,as_of,amount_latest,amount_unit,amount_avg_20d,amount_avg_60d,amount_percentile_1y,turnover_latest,turnover_avg_20d,turnover_percentile_1y,volume_spike_flag,source
002028.SZ,CN_A,思源电气,20260602,2439154.20632,CNY 1000 yuan,2582670.9285015003,2431273.0053005,0.8452380952380952,1.9222,2.0979149999999995,0.7619047619047619,,Tushare pro.daily and pro.daily_basic
688676.SH,CN_A,金盘科技,20260602,2014642.054,CNY 1000 yuan,2060402.98895,1534748.2442,0.8174603174603174,4.5582,4.588374999999999,0.6944444444444444,,Tushare pro.daily and pro.daily_basic
301291.SZ,CN_A,明阳电气,20260602,484971.57107,CNY 1000 yuan,791118.8337980001,823001.3838326667,0.6111111111111112,5.4597,8.443435000000001,0.5555555555555556,,Tushare pro.daily and pro.daily_basic
002922.SZ,CN_A,伊戈尔,20260602,1015552.71049,CNY 1000 yuan,1386430.2435714998,1008102.6786071664,0.7738095238095238,6.7135,8.54926,0.6309523809523809,,Tushare pro.daily and pro.daily_basic
002518.SZ,CN_A,科士达,20260602,670383.59008,CNY 1000 yuan,1170568.343555,748710.5493516667,0.5436507936507936,2.2916,3.660870000000001,0.496031746031746,,Tushare pro.daily and pro.daily_basic
002335.SZ,CN_A,科华数据,20260602,1941494.08893,CNY 1000 yuan,2258852.9280725005,2128958.9835575,0.6666666666666666,7.3247,7.58763,0.6666666666666666,,Tushare pro.daily and pro.daily_basic
600312.SH,CN_A,平高电气,20260602,541064.885,CNY 1000 yuan,649461.2521500001,701854.7645833332,0.5595238095238095,1.9391,2.187005,0.5198412698412699,,Tushare pro.daily and pro.daily_basic
601179.SH,CN_A,中国西电,20260602,2223669.441,CNY 1000 yuan,3755704.9213,4159320.427016667,0.6031746031746031,2.6291,4.1773,0.4880952380952381,,Tushare pro.daily and pro.daily_basic
000400.SZ,CN_A,许继电气,20260602,694722.23953,CNY 1000 yuan,796901.6077015002,956732.1686338334,0.4801587301587302,2.5862,2.948405,0.4523809523809524,,Tushare pro.daily and pro.daily_basic
600089.SH,CN_A,特变电工,20260602,3284234.297,CNY 1000 yuan,4821676.77065,5393622.768116667,0.4206349206349206,2.5,3.49303,0.3492063492063492,,Tushare pro.daily and pro.daily_basic
300693.SZ,CN_A,盛弘股份,20260602,720394.73084,CNY 1000 yuan,1346695.806098,1053105.642716,0.5674603174603174,5.3927,8.686224999999999,0.4087301587301587,,Tushare pro.daily and pro.daily_basic
002851.SZ,CN_A,麦格米特,20260602,4910421.19579,CNY 1000 yuan,3506017.0992815,2441132.4329605,0.984126984126984,7.3374,5.879479999999999,0.7976190476190477,amount>=2x_60d_avg,Tushare pro.daily and pro.daily_basic
