symbol,market,name,currency,source_step,priority,notes
002028.SZ,CN_A,思源电气,CNY,4,A,data_center_power_equipment_candidate
688676.SH,CN_A,金盘科技,CNY,4,A,data_center_power_equipment_candidate
301291.SZ,CN_A,明阳电气,CNY,4,A,data_center_power_equipment_candidate
002922.SZ,CN_A,伊戈尔,CNY,4,A,data_center_power_equipment_candidate
002518.SZ,CN_A,科士达,CNY,4,B,data_center_power_equipment_candidate
002335.SZ,CN_A,科华数据,CNY,4,B,data_center_power_equipment_candidate
600312.SH,CN_A,平高电气,CNY,4,B,data_center_power_equipment_candidate
601179.SH,CN_A,中国西电,CNY,4,B,data_center_power_equipment_candidate
000400.SZ,CN_A,许继电气,CNY,4,B,data_center_power_equipment_candidate
600089.SH,CN_A,特变电工,CNY,4,B,data_center_power_equipment_candidate
300693.SZ,CN_A,盛弘股份,CNY,4,B,data_center_power_equipment_candidate
002851.SZ,CN_A,麦格米特,CNY,4,B,data_center_power_equipment_candidate
