symbol,market,name,as_of,amount_latest,amount_unit,amount_avg_20d,amount_avg_60d,amount_percentile_1y,turnover_latest,turnover_avg_20d,turnover_percentile_1y,volume_spike_flag,source
300547.SZ,CN_A,川环科技,20260602,651402.07412,CNY 1000 yuan,615772.4907785,567039.0929095,0.7142857142857143,10.1534,8.500175000000002,0.75,,Tushare pro.daily and pro.daily_basic
002179.SZ,CN_A,中航光电,20260602,1222647.2791,CNY 1000 yuan,2267152.9181320006,1587795.508894,0.7301587301587301,1.6509,2.716195,0.753968253968254,,Tushare pro.daily and pro.daily_basic
688629.SH,CN_A,华丰科技,20260602,2507216.36,CNY 1000 yuan,3356166.72905,2938118.6983666667,0.746031746031746,10.0904,13.121559999999999,0.5714285714285714,,Tushare pro.daily and pro.daily_basic
603757.SH,CN_A,大元泵业,20260602,1306334.023,CNY 1000 yuan,953012.9283500001,861008.1957166668,0.9206349206349206,11.9753,8.622024999999999,0.873015873015873,,Tushare pro.daily and pro.daily_basic
688800.SH,CN_A,瑞可达,20260602,879651.197,CNY 1000 yuan,1563950.1268000002,1094915.7906166664,0.6111111111111112,3.5951,5.849045000000001,0.24603174603174602,,Tushare pro.daily and pro.daily_basic
300351.SZ,CN_A,永贵电器,20260602,345792.6946,CNY 1000 yuan,547519.1440625001,389076.80322083336,0.7301587301587301,7.4306,8.822279999999997,0.7619047619047619,,Tushare pro.daily and pro.daily_basic
300731.SZ,CN_A,科创新源,20260602,564727.68671,CNY 1000 yuan,747306.3872685,724759.1264061666,0.4603174603174603,5.5064,7.222685000000001,0.2261904761904762,,Tushare pro.daily and pro.daily_basic
002837.SZ,CN_A,英维克,20260602,3423665.5882,CNY 1000 yuan,5267715.9227585,4844903.852369499,0.3888888888888889,4.554,6.076420000000001,0.3492063492063492,,Tushare pro.daily and pro.daily_basic
300499.SZ,CN_A,高澜股份,20260602,884631.25218,CNY 1000 yuan,1774237.9049630002,1655099.3971209999,0.4722222222222222,8.9701,15.01886,0.376984126984127,,Tushare pro.daily and pro.daily_basic
301018.SZ,CN_A,申菱环境,20260602,1347328.45977,CNY 1000 yuan,1744034.969297,1525746.7278823333,0.75,4.8635,6.112885,0.4087301587301587,,Tushare pro.daily and pro.daily_basic
300990.SZ,CN_A,同飞股份,20260602,346068.83851,CNY 1000 yuan,614127.1931175,468268.5834558333,0.5,5.6775,8.66577,0.4801587301587302,,Tushare pro.daily and pro.daily_basic
002050.SZ,CN_A,三花智控,20260602,5147205.75414,CNY 1000 yuan,9977765.883956002,5709841.793468667,0.5238095238095238,3.0897,5.2945850000000005,0.4722222222222222,,Tushare pro.daily and pro.daily_basic
002126.SZ,CN_A,银轮股份,20260602,1026047.88084,CNY 1000 yuan,1467684.7074540001,1225956.6995346667,0.5396825396825397,2.5491,3.487715,0.30158730158730157,,Tushare pro.daily and pro.daily_basic
300602.SZ,CN_A,飞荣达,20260602,1654525.92874,CNY 1000 yuan,1610747.0953945,1052581.9313648334,0.8412698412698413,9.3896,9.710285,0.7619047619047619,,Tushare pro.daily and pro.daily_basic
