symbol,market,name,as_of,market_cap,market_cap_unit,pe_ttm,pb,ps_ttm,ev_ebitda,pe_percentile_3y,pe_percentile_5y,peer_group,source
300547.SZ,CN_A,川环科技,20260602,789972.2857,CNY 10k yuan,40.0817,5.7059,5.3251,,,,liquid_cooling_components_cn,Tushare pro.daily_basic
002179.SZ,CN_A,中航光电,20260602,7544394.3998,CNY 10k yuan,39.2949,3.2089,3.5222,,,,liquid_cooling_components_cn,Tushare pro.daily_basic
688629.SH,CN_A,华丰科技,20260602,6357091.1395,CNY 10k yuan,147.1981,32.9863,23.0712,,,,liquid_cooling_components_cn,Tushare pro.daily_basic
603757.SH,CN_A,大元泵业,20260602,1114619.8725,CNY 10k yuan,95.3007,5.2524,5.8304,,,,liquid_cooling_components_cn,Tushare pro.daily_basic
688800.SH,CN_A,瑞可达,20260602,2453489.1422,CNY 10k yuan,86.8908,10.228,7.8103,,,,liquid_cooling_components_cn,Tushare pro.daily_basic
300351.SZ,CN_A,永贵电器,20260602,693815.49,CNY 10k yuan,396.6195,2.8698,3.0563,,,,liquid_cooling_components_cn,Tushare pro.daily_basic
300731.SZ,CN_A,科创新源,20260602,1089236.1216,CNY 10k yuan,483.3606,17.7612,9.6484,,,,liquid_cooling_components_cn,Tushare pro.daily_basic
002837.SZ,CN_A,英维克,20260602,8600586.0713,CNY 10k yuan,178.2276,25.8494,13.629,,,,liquid_cooling_components_cn,Tushare pro.daily_basic
300499.SZ,CN_A,高澜股份,20260602,1126367.2012,CNY 10k yuan,368.9019,8.0894,11.4576,,,,liquid_cooling_components_cn,Tushare pro.daily_basic
301018.SZ,CN_A,申菱环境,20260602,3701642.4427,CNY 10k yuan,193.8563,13.6849,8.8179,,,,liquid_cooling_components_cn,Tushare pro.daily_basic
300990.SZ,CN_A,同飞股份,20260602,1344050.2315,CNY 10k yuan,53.5968,6.3651,4.4914,,,,liquid_cooling_components_cn,Tushare pro.daily_basic
002050.SZ,CN_A,三花智控,20260602,19007598.9444,CNY 10k yuan,46.5064,5.8256,6.1087,,,,liquid_cooling_components_cn,Tushare pro.daily_basic
002126.SZ,CN_A,银轮股份,20260602,4250119.7557,CNY 10k yuan,44.3216,5.7587,2.5748,,,,liquid_cooling_components_cn,Tushare pro.daily_basic
300602.SZ,CN_A,飞荣达,20260602,2618385.4395,CNY 10k yuan,68.1599,6.3631,3.7464,,,,liquid_cooling_components_cn,Tushare pro.daily_basic
